Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
C3;plant_miRNA;Proline;5642b;5;2;21;0.353199989
C4;scrambled_miRNA;Proline;5642b;5;2;21;0.300999999
D1;scrambled_miRNA;Proline;5642b;4;2;21;0.356599987
D2;plant_miRNA;Proline;5642b;4;2;21;0.321099997
D4;N.A.;Proline;N.A.;5;N.A.;21;0.092200004
A1;plant_miRNA;Proline;5642b;1;2;22;0.292400002
A2;scrambled_miRNA;Proline;5642b;1;2;22;0.261000007
A4;N.A.;Proline;N.A.;2;N.A.;22;0.144199997
A5;plant_miRNA;Proline;5642b;3;2;22;0.332100004
B1;N.A.;Proline;N.A.;1;N.A.;22;0.095399998
B3;scrambled_miRNA;Proline;5642b;2;2;22;0.313699991
B4;plant_miRNA;Proline;5642b;2;2;22;0.326799989
B5;scrambled_miRNA;Proline;5642b;3;2;22;0.292100012
B6;N.A.;Proline;N.A.;3;N.A.;22;0.081600003
C2;N.A.;Proline;N.A.;4;N.A.;22;0.151099995
C3;plant_miRNA;Proline;5642b;5;2;22;0.363799989
C4;scrambled_miRNA;Proline;5642b;5;2;22;0.313600004
D1;scrambled_miRNA;Proline;5642b;4;2;22;0.356700003
D2;plant_miRNA;Proline;5642b;4;2;22;0.341600001
D4;N.A.;Proline;N.A.;5;N.A.;22;0.091499999
A1;plant_miRNA;Proline;5642b;1;2;23;0.270500004
A2;scrambled_miRNA;Proline;5642b;1;2;23;0.262100011
A4;N.A.;Proline;N.A.;2;N.A.;23;0.134599999
A5;plant_miRNA;Proline;5642b;3;2;23;0.352400005
B1;N.A.;Proline;N.A.;1;N.A.;23;0.094899997
B3;scrambled_miRNA;Proline;5642b;2;2;23;0.292800009
B4;plant_miRNA;Proline;5642b;2;2;23;0.336299986
B5;scrambled_miRNA;Proline;5642b;3;2;23;0.318399996
B6;N.A.;Proline;N.A.;3;N.A.;23;0.066100001
C2;N.A.;Proline;N.A.;4;N.A.;23;0.138699993
C3;plant_miRNA;Proline;5642b;5;2;23;0.363200009
C4;scrambled_miRNA;Proline;5642b;5;2;23;0.29519999
D1;scrambled_miRNA;Proline;5642b;4;2;23;0.36590001
D2;plant_miRNA;Proline;5642b;4;2;23;0.317400008
D4;N.A.;Proline;N.A.;5;N.A.;23;0.075900003
A1;plant_miRNA;Proline;5642b;1;2;24;0.297300011
A2;scrambled_miRNA;Proline;5642b;1;2;24;0.272799999
A4;N.A.;Proline;N.A.;2;N.A.;24;0.127700001
A5;plant_miRNA;Proline;5642b;3;2;24;0.348699987
B1;N.A.;Proline;N.A.;1;N.A.;24;0.097900003
B3;scrambled_miRNA;Proline;5642b;2;2;24;0.30250001
B4;plant_miRNA;Proline;5642b;2;2;24;0.321700007
B5;scrambled_miRNA;Proline;5642b;3;2;24;0.302899987
