Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
C4	No_miRNA	mix17AA	N.A.	4	N.A.	9	0.271600008
C5	No_miRNA	mix17AA	N.A.	5	N.A.	9	0.269800007
C6	N.A.	mix17AA	N.A.	5	N.A.	9	0.115900002
D3	scrambled_miRNA	mix17AA	ath827	4	2	9	0.240899995
D4	plant_miRNA	mix17AA	ath827	4	2	9	0.243699998
D5	scrambled_miRNA	mix17AA	ath827	5	2	9	0.226899996
D6	plant_miRNA	mix17AA	ath827	5	2	9	0.248199999
A1	No_miRNA	mix17AA	N.A.	1	N.A.	10	0.283399999
A2	N.A.	mix17AA	N.A.	1	N.A.	10	0.126200005
A3	scrambled_miRNA	mix17AA	ath827	2	2	10	0.287400007
A4	plant_miRNA	mix17AA	ath827	2	2	10	0.279100001
A5	N.A.	mix17AA	N.A.	3	N.A.	10	0.120700002
A6	No_miRNA	mix17AA	N.A.	3	N.A.	10	0.280000001
B1	plant_miRNA	mix17AA	ath827	1	2	10	0.251300007
B2	scrambled_miRNA	mix17AA	ath827	1	2	10	0.254400015
B3	No_miRNA	mix17AA	N.A.	2	N.A.	10	0.249599993
B4	N.A.	mix17AA	N.A.	2	N.A.	10	0.084100001
B5	plant_miRNA	mix17AA	ath827	3	2	10	0.238199994
B6	scrambled_miRNA	mix17AA	ath827	3	2	10	0.253300011
C3	N.A.	mix17AA	N.A.	4	N.A.	10	0.124899998
C4	No_miRNA	mix17AA	N.A.	4	N.A.	10	0.27759999
C5	No_miRNA	mix17AA	N.A.	5	N.A.	10	0.276300013
C6	N.A.	mix17AA	N.A.	5	N.A.	10	0.116999999
D3	scrambled_miRNA	mix17AA	ath827	4	2	10	0.248400003
D4	plant_miRNA	mix17AA	ath827	4	2	10	0.252400011
D5	scrambled_miRNA	mix17AA	ath827	5	2	10	0.235100001
D6	plant_miRNA	mix17AA	ath827	5	2	10	0.256900012
A1	No_miRNA	mix17AA	N.A.	1	N.A.	11	0.291599989
A2	N.A.	mix17AA	N.A.	1	N.A.	11	0.151600003
A3	scrambled_miRNA	mix17AA	ath827	2	2	11	0.298400015
A4	plant_miRNA	mix17AA	ath827	2	2	11	0.288199991
A5	N.A.	mix17AA	N.A.	3	N.A.	11	0.120300002
A6	No_miRNA	mix17AA	N.A.	3	N.A.	11	0.286199987
B1	plant_miRNA	mix17AA	ath827	1	2	11	0.260800004
B2	scrambled_miRNA	mix17AA	ath827	1	2	11	0.262300014
B3	No_miRNA	mix17AA	N.A.	2	N.A.	11	0.25819999
B4	N.A.	mix17AA	N.A.	2	N.A.	11	0.083899997
B5	plant_miRNA	mix17AA	ath827	3	2	11	0.246600002
B6	scrambled_miRNA	mix17AA	ath827	3	2	11	0.263200015
C3	N.A.	mix17AA	N.A.	4	N.A.	11	0.124600001
C4	No_miRNA	mix17AA	N.A.	4	N.A.	11	0.28639999
C5	No_miRNA	mix17AA	N.A.	5	N.A.	11	0.289700001
C6	N.A.	mix17AA	N.A.	5	N.A.	11	0.115999997
D3	scrambled_miRNA	mix17AA	ath827	4	2	11	0.258100003
D4	plant_miRNA	mix17AA	ath827	4	2	11	0.262100011
D5	scrambled_miRNA	mix17AA	ath827	5	2	11	0.239700004
D6	plant_miRNA	mix17AA	ath827	5	2	11	0.267100006
A1	No_miRNA	mix17AA	N.A.	1	N.A.	12	0.289799988
A2	N.A.	mix17AA	N.A.	1	N.A.	12	0.183899999
A3	scrambled_miRNA	mix17AA	ath827	2	2	12	0.305799991
A4	plant_miRNA	mix17AA	ath827	2	2	12	0.298700005
A5	N.A.	mix17AA	N.A.	3	N.A.	12	0.1206
A6	No_miRNA	mix17AA	N.A.	3	N.A.	12	0.292199999
B1	plant_miRNA	mix17AA	ath827	1	2	12	0.266499996
B2	scrambled_miRNA	mix17AA	ath827	1	2	12	0.270099998
B3	No_miRNA	mix17AA	N.A.	2	N.A.	12	0.264899999
B4	N.A.	mix17AA	N.A.	2	N.A.	12	0.084399998
B5	plant_miRNA	mix17AA	ath827	3	2	12	0.252000004
B6	scrambled_miRNA	mix17AA	ath827	3	2	12	0.268400013
C3	N.A.	mix17AA	N.A.	4	N.A.	12	0.124499999
C4	No_miRNA	mix17AA	N.A.	4	N.A.	12	0.293900013
C5	No_miRNA	mix17AA	N.A.	5	N.A.	12	0.290399998
C6	N.A.	mix17AA	N.A.	5	N.A.	12	0.115800001
D3	scrambled_miRNA	mix17AA	ath827	4	2	12	0.263700008
D4	plant_miRNA	mix17AA	ath827	4	2	12	0.26699999
D5	scrambled_miRNA	mix17AA	ath827	5	2	12	0.246299997
D6	plant_miRNA	mix17AA	ath827	5	2	12	0.273499995
