Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
D8	plant_miRNA	mix17AA	aof159	4	2	3	0.1354
D9	scrambled_miRNA	mix17AA	ath158b	4	2	3	0.1308
D10	plant_miRNA	mix17AA	ath158a3p	5	2	3	0.1354
D11	N.A.	mix17AA	N.A.	5	N.A.	3	0.0864
E2	plant_miRNA	mix17AA	ath158a3p	1	2	3	0.1394
E3	scrambled_miRNA	mix17AA	ath158b	1	2	3	0.144
E4	plant_miRNA	mix17AA	ath5642b	2	2	3	0.1476
E5	scrambled_miRNA	mix17AA	ath827	2	2	3	0.142
E6	N.A.	mix17AA	N.A.	3	N.A.	3	0.0867
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	3	0.1446
E8	scrambled_miRNA	mix17AA	aof159	4	2	3	0.1322
E9	plant_miRNA	mix17AA	ath158b	4	2	3	0.1397
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	3	0.1359
E11	N.A.	mix17AA	N.A.	5	N.A.	3	0.0905
F2	scrambled_miRNA	mix17AA	ath827	1	2	3	0.1431
F3	N.A.	mix17AA	N.A.	1	N.A.	3	0.1099
F4	plant_miRNA	mix17AA	aof159	2	2	3	0.1402
F5	scrambled_miRNA	mix17AA	ath158b	2	2	3	0.1347
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	3	0.1402
F7	plant_miRNA	mix17AA	ath158b	3	2	3	0.1345
F8	N.A.	mix17AA	N.A.	4	N.A.	3	0.1117
F9	plant_miRNA	mix17AA	ath5642b	4	2	3	0.1276
F10	scrambled_miRNA	mix17AA	aof159	5	2	3	0.1352
F11	plant_miRNA	mix17AA	ath827	5	2	3	0.1337
G2	plant_miRNA	mix17AA	ath827	1	2	3	0.1414
G3	N.A.	mix17AA	N.A.	1	N.A.	3	0.1311
G4	scrambled_miRNA	mix17AA	aof159	2	2	3	0.138
G5	plant_miRNA	mix17AA	ath158b	2	2	3	0.1368
G6	plant_miRNA	mix17AA	ath158a3p	3	2	3	0.1373
G7	scrambled_miRNA	mix17AA	ath158b	3	2	3	0.1365
G8	N.A.	mix17AA	N.A.	4	N.A.	3	0.0848
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	3	0.1273
G10	plant_miRNA	mix17AA	aof159	5	2	3	0.1339
G11	scrambled_miRNA	mix17AA	ath827	5	2	3	0.1415
B2	scrambled_miRNA	mix17AA	aof159	1	2	4	0.2223
B3	plant_miRNA	mix17AA	ath5642b	1	2	4	0.2205
B4	N.A.	mix17AA	N.A.	2	N.A.	4	0.0842
B5	plant_miRNA	mix17AA	ath158a3p	2	2	4	0.2197
B6	plant_miRNA	mix17AA	ath827	3	2	4	0.227
B7	plant_miRNA	mix17AA	aof159	3	2	4	0.2236
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	4	0.1948
B9	scrambled_miRNA	mix17AA	ath827	4	2	4	0.1923
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	4	0.2103
B11	plant_miRNA	mix17AA	ath158b	5	2	4	0.2078
C2	plant_miRNA	mix17AA	aof159	1	2	4	0.2222
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	4	0.2229
C4	N.A.	mix17AA	N.A.	2	N.A.	4	0.0877
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	4	0.2148
C6	scrambled_miRNA	mix17AA	ath827	3	2	4	0.2257
C7	scrambled_miRNA	mix17AA	aof159	3	2	4	0.2107
C8	plant_miRNA	mix17AA	ath158a3p	4	2	4	0.1963
C9	plant_miRNA	mix17AA	ath827	4	2	4	0.193
C10	plant_miRNA	mix17AA	ath5642b	5	2	4	0.21
C11	scrambled_miRNA	mix17AA	ath158b	5	2	4	0.2189
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	4	0.23
D3	plant_miRNA	mix17AA	ath158b	1	2	4	0.2241
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	4	0.2118
D5	plant_miRNA	mix17AA	ath827	2	2	4	0.2146
D6	N.A.	mix17AA	N.A.	3	N.A.	4	0.1032
D7	plant_miRNA	mix17AA	ath5642b	3	2	4	0.2197
D8	plant_miRNA	mix17AA	aof159	4	2	4	0.1986
D9	scrambled_miRNA	mix17AA	ath158b	4	2	4	0.1897
D10	plant_miRNA	mix17AA	ath158a3p	5	2	4	0.2033
D11	N.A.	mix17AA	N.A.	5	N.A.	4	0.0866
E2	plant_miRNA	mix17AA	ath158a3p	1	2	4	0.2191
E3	scrambled_miRNA	mix17AA	ath158b	1	2	4	0.2247
E4	plant_miRNA	mix17AA	ath5642b	2	2	4	0.223
E5	scrambled_miRNA	mix17AA	ath827	2	2	4	0.2155
E6	N.A.	mix17AA	N.A.	3	N.A.	4	0.0862
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	4	0.2215
E8	scrambled_miRNA	mix17AA	aof159	4	2	4	0.194
E9	plant_miRNA	mix17AA	ath158b	4	2	4	0.1982
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	4	0.2024
E11	N.A.	mix17AA	N.A.	5	N.A.	4	0.0883
F2	scrambled_miRNA	mix17AA	ath827	1	2	4	0.2223
F3	N.A.	mix17AA	N.A.	1	N.A.	4	0.1104
F4	plant_miRNA	mix17AA	aof159	2	2	4	0.2149
F5	scrambled_miRNA	mix17AA	ath158b	2	2	4	0.2093
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	4	0.2153
F7	plant_miRNA	mix17AA	ath158b	3	2	4	0.2068
F8	N.A.	mix17AA	N.A.	4	N.A.	4	0.1076
F9	plant_miRNA	mix17AA	ath5642b	4	2	4	0.1862
F10	scrambled_miRNA	mix17AA	aof159	5	2	4	0.2029
F11	plant_miRNA	mix17AA	ath827	5	2	4	0.2017
G2	plant_miRNA	mix17AA	ath827	1	2	4	0.2196
G3	N.A.	mix17AA	N.A.	1	N.A.	4	0.1338
G4	scrambled_miRNA	mix17AA	aof159	2	2	4	0.2126
G5	plant_miRNA	mix17AA	ath158b	2	2	4	0.212
G6	plant_miRNA	mix17AA	ath158a3p	3	2	4	0.2135
G7	scrambled_miRNA	mix17AA	ath158b	3	2	4	0.2114
G8	N.A.	mix17AA	N.A.	4	N.A.	4	0.0866
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	4	0.1872
