Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
D3	scrambled_miRNA	L-Phenylalanine	mix_5	1	10	4	0.102300003
D4	scrambled_miRNA	L-Phenylalanine	mix_5	2	10	4	0.102700002
D5	plant_miRNA	L-Valine	mix_5	2	10	4	0.110799998
D6	plant_miRNA	L-Leucine	mix_5	3	10	4	0.0995
D7	plant_miRNA	L-Serine	mix_5	3	10	4	0.0986
D8	scrambled_miRNA	L-Threonine	mix_5	4	10	4	0.0942
D9	scrambled_miRNA	L-Leucine	mix_5	4	10	4	0.098399997
D10	plant_miRNA	L-Threonine	mix_5	5	10	4	0.093800001
D11	plant_miRNA	Mix17	mix_5	5	10	4	0.202500001
D12	N.A.	L-Threonine	N.A.	N.A.	N.A.	4	0.077100001
E1	N.A.	L-Valine	N.A.	N.A.	N.A.	4	0.093699999
E2	plant_miRNA	L-Serine	mix_5	1	10	4	0.111500002
