Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
C3	scrambled_miRNA	L-Tryptophan	mix_5	1	10	2	0.0963
C4	plant_miRNA	Glycine	mix_5	2	10	2	0.1056
C5	scrambled_miRNA	L-Lysine	mix_5	2	10	2	0.0923
C6	plant_miRNA	L-Methionine	mix_5	3	10	2	0.0965
C7	scrambled_miRNA	Glycine	mix_5	3	10	2	0.0958
C8	plant_miRNA	L-Tryptophan	mix_5	4	10	2	0.0971
C9	scrambled_miRNA	L-Proline	mix_5	4	10	2	0.0947
C10	plant_miRNA	L-Lysine	mix_5	5	10	2	0.0961
C11	plant_miRNA	L-Isoleucine	mix_5	5	10	2	0.0981
C12	N.A.	Glycine	N.A.	N.A.	N.A.	2	0.0858
D1	N.A.	L-Methionine	N.A.	N.A.	N.A.	2	0.0836
D2	plant_miRNA	L-Methionine	mix_5	1	10	2	0.0909
D3	plant_miRNA	Glycine	mix_5	1	10	2	0.0955
D4	plant_miRNA	L-Proline	mix_5	2	10	2	0.0973
D5	scrambled_miRNA	L-Methionine	mix_5	2	10	2	0.1003
D6	scrambled_miRNA	L-Isoleucine	mix_5	3	10	2	0.0991
D7	plant_miRNA	L-Tryptophan	mix_5	3	10	2	0.1064
D8	scrambled_miRNA	L-Lysine	mix_5	4	10	2	0.0988
D9	plant_miRNA	L-Isoleucine	mix_5	4	10	2	0.0989
D10	scrambled_miRNA	Glycine	mix_5	5	10	2	0.1003
D11	scrambled_miRNA	L-Proline	mix_5	5	10	2	0.0995
D12	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	2	0.0882
E1	N.A.	L-Lysine	N.A.	N.A.	N.A.	2	0.0886
E2	scrambled_miRNA	L-Methionine	mix_5	1	10	2	0.0949
E3	scrambled_miRNA	Glycine	mix_5	1	10	2	0.0915
E4	scrambled_miRNA	L-Proline	mix_5	2	10	2	0.0945
E5	plant_miRNA	L-Methionine	mix_5	2	10	2	0.0954
E6	plant_miRNA	L-Isoleucine	mix_5	3	10	2	0.0943
E7	scrambled_miRNA	L-Tryptophan	mix_5	3	10	2	0.1002
E8	plant_miRNA	L-Lysine	mix_5	4	10	2	0.0969
E9	scrambled_miRNA	L-Isoleucine	mix_5	4	10	2	0.103
E10	plant_miRNA	Glycine	mix_5	5	10	2	0.0956
E11	plant_miRNA	L-Proline	mix_5	5	10	2	0.0944
E12	N.A.	L-Proline	N.A.	N.A.	N.A.	2	0.0884
F1	N.A.	L-Proline	N.A.	N.A.	N.A.	2	0.0865
F2	scrambled_miRNA	L-Proline	mix_5	1	10	2	0.1042
F3	plant_miRNA	L-Lysine	mix_5	1	10	2	0.0937
F4	plant_miRNA	L-Isoleucine	mix_5	2	10	2	0.103
F5	plant_miRNA	L-Tryptophan	mix_5	2	10	2	0.0963
F6	scrambled_miRNA	L-Lysine	mix_5	3	10	2	0.0901
F7	plant_miRNA	L-Proline	mix_5	3	10	2	0.093
F8	scrambled_miRNA	Glycine	mix_5	4	10	2	0.1045
F9	plant_miRNA	L-Methionine	mix_5	4	10	2	0.0982
F10	scrambled_miRNA	L-Methionine	mix_5	5	10	2	0.0953
F11	scrambled_miRNA	L-Tryptophan	mix_5	5	10	2	0.0951
F12	N.A.	L-Methionine	N.A.	N.A.	N.A.	2	0.0864
G1	N.A.	Glycine	N.A.	N.A.	N.A.	2	0.0852
G2	plant_miRNA	L-Proline	mix_5	1	10	2	0.1031
G3	scrambled_miRNA	L-Lysine	mix_5	1	10	2	0.0977
G4	scrambled_miRNA	L-Isoleucine	mix_5	2	10	2	0.1021
G5	scrambled_miRNA	L-Tryptophan	mix_5	2	10	2	0.0956
G6	plant_miRNA	L-Lysine	mix_5	3	10	2	0.0952
