Well_ID	Plate	Pair	miRNA	Treatment	N_Source	Time	OD540
B1	2	C	Mix5	Plant	Mix_AA	0	0.194000006
B2	2	C	Mix5	Scramble	Mix_AA	0	0.197099999
B3	2	C	ath-miR827	Plant	Mix_AA	0	0.199000001
B4	2	C	ath-miR827	Scramble	Mix_AA	0	0.185900003
B5	2	C	ath-miR5642b	Plant	Mix_AA	0	0.184599996
B6	2	C	ath-miR5642b	Scramble	Mix_AA	0	0.198200002
B7	2	C	Ctl-2	NA	Mix_AA	0	0.193599999
C1	2	C	ath-miR158b	Plant	Mix_AA	3	0.242699996
C2	2	C	ath-miR158b	Scramble	Mix_AA	3	0.218999997
C3	2	C	ath-miR158a3p	Plant	Mix_AA	3	0.211999997
C4	2	C	ath-miR158a3p	Scramble	Mix_AA	3	0.217899993
C5	2	C	ath-miR159	Plant	Mix_AA	3	0.207900003
C6	2	C	ath-miR159	Scramble	Mix_AA	3	0.200100005
C7	2	C	Ctl-1	NA	Mix_AA	3	0.203199998
D1	2	C	Mix5	Plant	Mix_AA	3	0.217800006
D2	2	C	Mix5	Scramble	Mix_AA	3	0.225500003
D3	2	C	ath-miR827	Plant	Mix_AA	3	0.243599996
D4	2	C	ath-miR827	Scramble	Mix_AA	3	0.224600002
D5	2	C	ath-miR5642b	Plant	Mix_AA	3	0.225799993
D6	2	C	ath-miR5642b	Scramble	Mix_AA	3	0.217800006
D7	2	C	Ctl-2	NA	Mix_AA	3	0.227699995
E1	2	C	ath-miR158b	Plant	Mix_AA	6	0.193499997
E2	2	C	ath-miR158b	Scramble	Mix_AA	6	0.209099993
E3	2	C	ath-miR158a3p	Plant	Mix_AA	6	0.216000006
E4	2	C	ath-miR158a3p	Scramble	Mix_AA	6	0.232899994
E5	2	C	ath-miR159	Plant	Mix_AA	6	0.209999993
E6	2	C	ath-miR159	Scramble	Mix_AA	6	0.206300005
E7	2	C	Ctl-1	NA	Mix_AA	6	0.222200006
F1	2	C	Mix5	Plant	Mix_AA	6	0.181299999
F2	2	C	Mix5	Scramble	Mix_AA	6	0.185299993
F3	2	C	ath-miR827	Plant	Mix_AA	6	0.198699996
F4	2	C	ath-miR827	Scramble	Mix_AA	6	0.198699996
F5	2	C	ath-miR5642b	Plant	Mix_AA	6	0.186900005
F6	2	C	ath-miR5642b	Scramble	Mix_AA	6	0.199900001
F7	2	C	Ctl-2	NA	Mix_AA	6	0.232500002
G1	2	C	ath-miR158b	Plant	Mix_AA	24	0.167099997
G2	2	C	ath-miR158b	Scramble	Mix_AA	24	0.163499996
G3	2	C	ath-miR158a3p	Plant	Mix_AA	24	0.167199999
G4	2	C	ath-miR158a3p	Scramble	Mix_AA	24	0.165399998
G5	2	C	ath-miR159	Plant	Mix_AA	24	0.144400001
G6	2	C	ath-miR159	Scramble	Mix_AA	24	0.161899999
G7	2	C	Ctl-1	NA	Mix_AA	24	0.232700005
H1	2	C	Mix5	Plant	Mix_AA	24	0.175400004
H2	2	C	Mix5	Scramble	Mix_AA	24	0.151099995
H3	2	C	ath-miR827	Plant	Mix_AA	24	0.170499995
H4	2	C	ath-miR827	Scramble	Mix_AA	24	0.166600004
H5	2	C	ath-miR5642b	Plant	Mix_AA	24	0.1708
H6	2	C	ath-miR5642b	Scramble	Mix_AA	24	0.166899994
H7	2	C	Ctl-2	NA	Mix_AA	24	0.266900003
A8	2	C	NA	std	500	NA	0.418599993
B8	2	C	NA	std	250	NA	0.246299997
C8	2	C	NA	std	125	NA	0.166099995
D8	2	C	NA	std	62.5	NA	0.126000002
E8	2	C	NA	std	31.3	NA	0.115000002
F8	2	C	NA	std	15.6	NA	0.097400002
G8	2	C	NA	std	0	NA	0.093599997
A9	2	C	NA	std	0	NA	0.123499997
B9	2	C	NA	std	15.6	NA	0.123800002
C9	2	C	NA	std	31.3	NA	0.133599997
D9	2	C	NA	std	62.5	NA	0.134800002
E9	2	C	NA	std	125	NA	0.194000006
